2015-06-17 20:47:48,285 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda:1.1.1 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/pom.xml.
2015-06-17 20:47:54,284 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:47:54,284 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/src/test/resources
2015-06-17 20:47:54,290 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.grants.harvesters:harvester_pmh:jar:1.2.1 is missing, no dependency information available
2015-06-17 20:47:54,295 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:47:54,295 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:47:54,296 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:47:54,296 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:47:54,446 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:47:54,446 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/main/resources
2015-06-17 20:47:54,448 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:47:54,448 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/test/resources
2015-06-17 20:49:27,279 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.rd.switchboard.harvesters:harvester_pmh:1.2.2 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/pom.xml.
2015-06-17 20:49:27,292 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda:1.1.1 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/pom.xml.
2015-06-17 20:49:27,296 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.grants.harvesters:harvester_pmh:jar:1.2.1 is missing, no dependency information available
2015-06-17 20:49:34,363 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:49:34,363 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/src/main/resources
2015-06-17 20:49:34,365 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:49:34,365 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/src/test/resources
2015-06-17 20:49:34,371 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.grants.harvesters:harvester_pmh:jar:1.2.1 is missing, no dependency information available
2015-06-17 20:49:34,376 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:49:34,376 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:49:34,377 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:49:34,377 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:50:09,987 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:50:09,987 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/src/main/resources
2015-06-17 20:50:09,989 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:50:09,990 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/src/test/resources
2015-06-17 20:50:57,988 [Worker-81] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.rd.switchboard.harvesters:harvester_rda:1.1.1 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/pom.xml.
2015-06-17 20:50:58,756 [Worker-81] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/rd/switchboard/harvesters/harvester_pmh/1.2.1/harvester_pmh-1.2.1.pom
2015-06-17 20:50:58,757 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.rd.switchboard.harvesters:harvester_pmh:jar:1.2.1 is missing, no dependency information available
2015-06-17 20:50:59,370 [Worker-81] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/rd/switchboard/harvesters/harvester_pmh/1.2.1/harvester_pmh-1.2.1.jar
2015-06-17 20:50:59,507 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:50:59,507 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:50:59,508 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:50:59,509 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:51:03,979 [Worker-80] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.rd.switchboard.harvesters:harvester_rda:1.1.1 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/pom.xml.
2015-06-17 20:51:04,022 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:51:04,022 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:51:04,024 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:51:04,024 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:51:05,225 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:51:05,225 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:51:05,226 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:51:05,227 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:51:51,428 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.rd.switchboard.harvesters:harvester_rda:1.1.1 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/pom.xml.
2015-06-17 20:51:51,451 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:51:51,451 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:51:51,452 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:51:51,452 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:51:55,502 [Worker-80] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.rd.switchboard.harvesters:harvester_rda:1.1.1 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/pom.xml.
2015-06-17 20:51:55,524 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:51:55,524 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:51:55,525 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:51:55,525 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:52:37,832 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:52:37,832 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:52:37,834 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:52:37,835 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:52:56,829 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:52:56,830 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/main/resources
2015-06-17 20:52:56,831 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:52:56,832 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/src/test/resources
2015-06-17 20:53:31,607 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:53:31,607 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/main/resources
2015-06-17 20:53:31,608 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:53:31,609 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/test/resources
2015-06-17 20:53:41,379 [Worker-72] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda2:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/pom.xml.
2015-06-17 20:53:41,412 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:53:41,413 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/main/resources
2015-06-17 20:53:41,414 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:53:41,414 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/test/resources
2015-06-17 20:53:44,924 [Worker-80] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda2:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/pom.xml.
2015-06-17 20:53:44,972 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:53:44,973 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/main/resources
2015-06-17 20:53:44,976 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:53:44,976 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/test/resources
2015-06-17 20:53:50,960 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda2:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/pom.xml.
2015-06-17 20:53:50,990 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:53:50,991 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/main/resources
2015-06-17 20:53:50,992 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:53:50,992 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/test/resources
2015-06-17 20:54:00,212 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.rd.switchboard.harvesters:harvester_rda2:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/pom.xml.
2015-06-17 20:54:00,343 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:54:00,343 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/main/resources
2015-06-17 20:54:00,345 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:54:00,345 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/test/resources
2015-06-17 20:55:26,475 [Worker-81] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.rd.switchboard.harvesters:harvester_rda2:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/pom.xml.
2015-06-17 20:55:26,515 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:55:26,515 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/main/resources
2015-06-17 20:55:26,517 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:55:26,517 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/test/resources
2015-06-17 20:55:50,341 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.rd.switchboard.harvesters:harvester_rda2:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/pom.xml.
2015-06-17 20:55:50,377 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:55:50,377 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/main/resources
2015-06-17 20:55:50,379 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:55:50,379 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/src/test/resources
2015-06-17 20:59:33,378 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ogr.grants.harvesters:harvester_publications:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/Web/harvester_publications/pom.xml.
2015-06-17 20:59:35,368 [Worker-67] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://raw.github.com/neo4j-contrib/m2/master/releases/org/grants/google/google_query/1.0.1/google_query-1.0.1.pom
2015-06-17 20:59:36,193 [Worker-67] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/grants/google/google_query/1.0.1/google_query-1.0.1.pom
2015-06-17 20:59:36,195 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.grants.google:google_query:jar:1.0.1 is missing, no dependency information available
2015-06-17 20:59:38,645 [Worker-67] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://raw.github.com/neo4j-contrib/m2/master/releases/org/grants/google/google_query/1.0.1/google_query-1.0.1.jar
2015-06-17 20:59:39,243 [Worker-67] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/grants/google/google_query/1.0.1/google_query-1.0.1.jar
2015-06-17 20:59:39,275 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ogr.grants.harvesters:harvester_grants:1.1.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/Web/harvester_grants/pom.xml.
2015-06-17 20:59:39,311 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_cern:1.0.4 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/Cern/harvester_cern/pom.xml.
2015-06-17 20:59:40,348 [Worker-67] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/grants/harvesters/harvester_pmh/1.1.1/harvester_pmh-1.1.1.pom
2015-06-17 20:59:40,349 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.grants.harvesters:harvester_pmh:jar:1.1.1 is missing, no dependency information available
